order,field,answer_gt,answer_extracted,levenshtein,moverscore,levenshtein_moverscore
1,EMPLOYEE SOCIAL SECURITY #,623-54-9182,623-54-9182,1.0,,1.0
2,OSHA case #,2023-000127,2023-0002,0.9,,0.9
3,Time employee began work on date of injury,07:30:00,07:30:00,1.0,,1.0
4,Time employee began work on date of injury (am/pm),AM,AM,1.0,,1.0
5,DATE OF CLAIMED INJURY,2023-12-05,2023-12-05,1.0,,1.0
6,Time of injury,09:45:00,09:45:00,1.0,,1.0
7,Time of injury(am/pm),AM,AM,1.0,,1.0
8,Date of death,,,1.0,,1.0
9,# of dependents (if death is related to injury),0.0,0.0,1.0,,1.0
10,EMPLOYEE Last name,Doe,Doe,1.0,,1.0
11,EMPLOYEE First name,John,John,1.0,,1.0
12,EMPLOYEE Middle name,Michael,Michael,1.0,,1.0
13,Gender,M,M,,1.0,1.0
14,Marital status,Married,Married,1.0,,1.0
15,Home address,2457 Brookview Lane,2457 Brookview Lane,1.0,,1.0
16,Home phone #,614-555-0123,614-555-0123,1.0,,1.0
17,Date of birth,1985-06-14,1985-06-14,1.0,,1.0
18,Date hired,2021-09-01,2021-09-01,1.0,,1.0
19,City,Columbus,Columbus,1.0,,1.0
20,State,OH,OH,1.0,,1.0
21,Zip Code,43215,43215,1.0,,1.0
22,Occupation,Warehouse Associate,Warehouse Associate,1.0,,1.0
23,Regular department,Shipping & Receiving,Shipping & Receiving,1.0,,1.0
24,Apprentice,False,False,1.0,,1.0
25,Average weekly wage,1150.0,1150.0,1.0,,1.0
26,Rate per hour,28.75,28.75,1.0,,1.0
27,Hours per day,8.0,8.0,1.0,,1.0
28,Days per week,5.0,5.0,1.0,,1.0
29,Normal work schedule Sun,False,False,1.0,,1.0
30,Normal work schedule Mon,True,True,1.0,,1.0
31,Normal work schedule Tue,True,True,1.0,,1.0
32,Normal work schedule Wed,True,True,1.0,,1.0
33,Normal work schedule Thu,True,True,1.0,,1.0
34,Normal work schedule Fri,True,True,1.0,,1.0
35,Normal work schedule Sat,False,False,1.0,,1.0
36,Employment status,Full time,Full time,1.0,,1.0
37,"Tell us how the injury/illness occurred, what the employee was doing before the incident (give details), and what the injury/illness was.","While lifting a 60-lb box from a pallet in the warehouse, the employee stepped onto a wet spot near the loading bay, slipped, and twisted to avoid falling. He immediately felt sharp pain in his lower back and had difficulty standing upright.","While lifting a 60-lb box from a pallet in the warehouse, the employee stepped onto a wet spot near the loading bay, slipped, and twisted to avoid falling. He immediately felt sharp pain in his lower back and had difficulty standing upright.",,1.0,1.0
38,What was the injury or illness (include the part(s) of body)?,Acute lumbar strain/sprain affecting the lower back with associated muscle spasm; no radiating pain to legs reported,Acute lumbar strain/sprain affecting the lower back with associated muscle spasm; no radiating pain to legs reported,,1.0,1.0
39,"What tools, equipment, machines, objects, or substances were involved?","Pallet jack, shrink-wrapped cardboard boxes, concrete warehouse floor, residual cleaning solution/water on floor near loading bay.","Pallet jack, shrink-wrapped cardboard boxes, concrete warehouse floor, residual cleaning solution/water on floor near loading bay.",,1.0,1.0
40,Did injury occur on employer’s premises?,True,True,1.0,,1.0
