order,field,answer_gt,answer_extracted,levenshtein,moverscore,levenshtein_moverscore
1,First name,John,John,1.0,,1.0
2,Middle initial,A,A.,0.6666666666666667,,0.6666666666666667
3,Last name,Doe,Doe,1.0,,1.0
4,Date of injury/disease,2023-11-14,2023-11-14,1.0,,1.0
5,Social Security number,987-65-4320,987-65-4320,1.0,,1.0
6,Date of birth,1986-07-02,1986-07-02,1.0,,1.0
7,"Mailing address; add apartment number or P.O. Box, if applicable","742 Maple Ave, Apt 3B","742 Maple Ave, Apt 3B",1.0,,1.0
8,City,Columbus,Columbus,1.0,,1.0
9,State,OH,OH,1.0,,1.0
10,ZIP code,43205,43205,1.0,,1.0
11,Sex,Male,Male,,1.0,1.0
12,Email address,john.doe@gmail.com,john.doe@gmail.com,1.0,,1.0
13,Home phone number,614-555-0172,614-555-0172,1.0,,1.0
14,Cell phone number,614-555-0173,614-555-0173,1.0,,1.0
15,Employer name,John Doe dba Doe HVAC Services,John Doe dba Doe HVAC Services,1.0,,1.0
16,Employer address,"1180 Industrial Park Dr, Suite 200","1180 Industrial Park Dr, Suite 200",1.0,,1.0
17,City,Columbus,Columbus,1.0,,1.0
18,State,OH,OH,1.0,,1.0
19,ZIP code,43228,43228,1.0,,1.0
20,Was the injured worker hired through a temp agency?,False,False,1.0,,1.0
21,"If yes, name of temp agency",,,1.0,,1.0
22,Mark the days of the week you usually work,"Monday, Tuesday, Wednesday, Thursday, Friday","Mon, Tues, Wed, Thurs, Fri",0.7428571428571429,,0.7428571428571429
23,Regular work hours - From,8 a.m.,08:00:00,0.1428571428571429,,0.1428571428571429
24,Regular work hours - To,4:30 p.m.,16:30:00,0.3529411764705882,,0.3529411764705882
25,Date hired,2022-05-10,2022-05-10,1.0,,1.0
26,Job title,HVAC Technician,HVAC Technician,1.0,,1.0
27,State where hired,OH,OH,1.0,,1.0
28,State where supervised,OH,OH,1.0,,1.0
29,Wage rate; $ per hour,24.5,24.5,1.0,,1.0
30,Number of hours scheduled to work the week of this injury,40.0,40.0,1.0,,1.0
31,Work number for call-offs (Number injured worker calls to reach supervisor),614-555-0140,614-555-0140,1.0,,1.0
32,"Part(s) of body affected (For example: Left knee, right index finger)",Lower back (lumbar); right wrist,Lower back (lumbar); right wrist,,1.0,1.0
33,Accident description (Describe the sequence of events that directly caused the injury or death.),"While lifting a 120-lb condenser unit with a coworker at a customer’s residence, I lost footing on the basement stairs. I twisted to keep the unit from falling, felt a sharp pull in my lower back, and braced myself with my right hand on the rail, spraining my wrist. No fall to the ground occurred, but pain increased immediately and I reported the incident to my supervisor on site.","While lifting a 120-lb condenser unit with a coworker at a customer’s residence, I lost footing on the basement stairs. I twisted to keep the unit from falling, felt a sharp pull in my lower back, and braced myself with my right hand on the rail, spraining my wrist. No fall to the ground occurred, but pain increased immediately and I reported the incident to my supervisor on site.",1.0,,1.0
34,Will the incident cause the injured worker to miss 8 or more days from work?,True,False,0.2222222222222222,,0.2222222222222222
35,Injured worker start time,8 a.m.,08:00:00,0.1428571428571429,,0.1428571428571429
36,Time of injury,10:35 a.m.,10:35:00,0.5555555555555556,,0.5555555555555556
37,Date employer notified,2023-11-14,2023-11-14,1.0,,1.0
38,Was any part of a workday missed due to the injury?,True,True,1.0,,1.0
39,Date last worked,2023-11-14,2023-11-14,1.0,,1.0
40,Was the place of the accident or exposure on employer's premises?,False,False,1.0,,1.0
41,"If no, give accident location, street address",5297 Willow Crest Dr,5297 Willow Crest Dr,1.0,,1.0
42,"If no, give accident location, city",Dublin,Dublin,1.0,,1.0
43,"If no, give accident location, state",OH,OH,1.0,,1.0
44,"If no, give accident location, ZIP code",43017,43017,1.0,,1.0
45,Was injured worker hospitalized overnight?,False,False,1.0,,1.0
46,Initial treatment date,2023-11-14,2023-11-14,1.0,,1.0
47,Health-care office/Facility name,Riverside Occupational Health Clinic,Riverside Occupational Health Clinic,1.0,,1.0
48,Treating physician/Provider name,"Emily Hart, DO","Emily Hart, DO",1.0,,1.0
49,Telephone number,614-555-0194,614-555-0194,1.0,,1.0
50,Fax number,614-555-0195,614-555-0195,1.0,,1.0
51,Health-care office/Facility street address,"111 N High St, Suite 250","111 N High St, Suite 250",1.0,,1.0
52,City,Columbus,Columbus,1.0,,1.0
53,State,OH,OH,1.0,,1.0
54,ZIP code,43215,43215,1.0,,1.0
55,Date of death,,,1.0,,1.0
56,Decedent’s marital status,,,1.0,,1.0
57,Decedent’s number of dependents,0.0,0.0,1.0,,1.0
58,"Diagnosis(es)-narrative description including as appropriate, the location and body part, and ICD code(s).","Acute lumbar strain (S39.012A) and right wrist sprain (S63.501A). No radicular symptoms, strength intact. Plan: rest, NSAIDs, wrist brace, and referral to physical therapy.","Acute lumbar strain (S39.012A) and right wrist sprain (S63.501A). No radicular symptoms, strength intact. Plan: rest, NSAIDs, wrist brace, and referral to physical therapy.",1.0,,1.0
59,Initial treatment date,2023-11-14,2023-11-14,1.0,,1.0
60,Are the medical conditions you have listed above causally related to the reported work-related accident or occupational disease?,True,True,1.0,,1.0
61,Are you the physician of record?,True,True,1.0,,1.0
62,Treating physician/Provider’s name (Print),"Emily Hart, DO","Emily Hart, DO",1.0,,1.0
63,BWC provider number,BWC-458721,BWC-458721,1.0,,1.0
64,Date,2023-11-15,2023-11-15,1.0,,1.0
65,Employer name,John Doe dba Doe HVAC Services,John Doe dba Doe HVAC Services,1.0,,1.0
66,Employer county,Franklin,Franklin,1.0,,1.0
67,Phone number,614-555-0140,614-555-0140,1.0,,1.0
68,Fax number,614-555-0141,614-555-0141,1.0,,1.0
