order,field,answer_gt,answer_extracted,levenshtein,moverscore,levenshtein_moverscore
1,Employee Name (First),John,John,1.0,,1.0
2,Employee Name (Middle),Andrew,Andrew,1.0,,1.0
3,Employee Name (Last),Smith,Smith,1.0,,1.0
4,Social Security Number*,123-45-6789,123-45-6789,1.0,,1.0
5,Sex,M,M,,0.9999993188543357,0.9999993188543357
6,Employee Home Telephone No.,608-555-0134,608-555-0134,1.0,,1.0
7,Employee Street Address,742 Parkside Dr,742 Parkside Dr,1.0,,1.0
8,City,Madison,Madison,1.0,,1.0
9,State,WI,WI,1.0,,1.0
10,Zip Code,53704,53704,1.0,,1.0
11,Occupation,Warehouse Associate,Warehouse Associate,1.0,,1.0
12,Birthdate,1987-06-22,1987-06-22,1.0,,1.0
13,Date of Hire,2021-09-13,2021-09-13,1.0,,1.0
14,County and State Where Accident or Exposure Occurred?,"Dane County, WI","Dane County, WI",1.0,,1.0
15,Employer Name,"Badger Distribution, Inc.","Badger Distribution, Inc.",1.0,,1.0
16,WI Unemployment Ins. Acct No.,SIC123456789,SIC123456789,1.0,,1.0
17,Self-Insured?,False,False,1.0,,1.0
18,Nature of Business (Specific Product),Warehousing and distribution of consumer goods,Warehousing and distribution of consumer goods,,1.0,1.0
19,Employer Mailing Address,1500 Commerce Dr,1500 Commerce Dr,,1.0,1.0
20,City,Sun Prairie,Sun Prairie,1.0,,1.0
21,State,WI,WI,1.0,,1.0
22,Zip Code,53590,53590,1.0,,1.0
23,Employer FEIN,39-8765432,39-8765432,1.0,,1.0
24,Name of Worker's Compensation Insurance Co. or Self-Insured Employer,Secure Insurance Company,Secure Insurance Company,1.0,,1.0
25,Insurer FEIN,26-7412589,26-7412589,1.0,,1.0
26,Name and Address of Third Party Administrator (TPA) Used by the Insurance Company or Self-Insured Employer,"Midwest Claims Administrators, LLC, 100 E Wisconsin Ave, Suite 2100, Milwaukee, WI 53202","Midwest Claims Administrators, LLC, 100 E Wisconsin Ave, Suite 2100, Milwaukee, WI 53202",1.0,,1.0
27,TPA FEIN,39-1122334,39-1122334,1.0,,1.0
28,Wage at Time of Injury $,27.0,27.0,1.0,,1.0
29,"Specify per hr., wk., mo., yr., etc.",hr,hr,1.0,,1.0
30,Per:,0.0,40.0,0.8571428571428572,,0.8571428571428572
31,"Meals (In Addition to Wages, Employee Received)",False,False,1.0,,1.0
32,"Room (In Addition to Wages, Employee Received)",False,False,1.0,,1.0
33,"Tips (In Addition to Wages, Employee Received)",False,False,1.0,,1.0
34,No. of Meals/wk.,0.0,0.0,1.0,,1.0
35,No. of Days/wk,0.0,0.0,1.0,,1.0
36,Avg. Weekly Amt. $,0.0,0.0,1.0,,1.0
37,Is Worker Paid for Overtime?,True,True,1.0,,1.0
38,"If Yes, After How Many Hours of Work Per Week?",40.0,40.0,1.0,,1.0
39,No. of Weeks:,50.0,50.0,1.0,,1.0
40,Gross Amount Excluding Tips: $,49000.0,49000.0,1.0,,1.0
41,"If Piece-Work, No. of Hrs. Excluding Overtime:",0.0,0.0,1.0,,1.0
42,Start Time,8:30 a.m.,08:30:00,0.47058823529411764,,0.47058823529411764
43,Hours Per Day,8.0,8.0,1.0,,1.0
44,Hours Per Week,40.0,40.0,1.0,,1.0
45,Days Per Week,5.0,5.0,1.0,,1.0
46,Employer's Usual Full-Time Schedule for This Type of Work at Time of Employee's Injury,8,"8 hrs/day, 40 hrs/week, 5 days/week",0.05555555555555558,,0.05555555555555558
47,Are there Other Part-Time Workers Doing the Same Work With the Same Schedule?,False,False,1.0,,1.0
48,"If Yes, how many?",0.0,0.0,1.0,,1.0
49,Number of Full-Time Employees Doing The Same Type Of Work:,10.0,10.0,1.0,,1.0
50,Injury Date,2024-03-12,2024-03-12,1.0,,1.0
51,Time of Injury,10:20 a.m.,10:20:00,0.5555555555555556,,0.5555555555555556
52,Last Day Worked,2024-03-12,2024-03-12,1.0,,1.0
53,Date Employer Notified,2024-03-12,2024-03-12,1.0,,1.0
54,Date Returned to Work,2024-03-18,2024-03-18,1.0,,1.0
55,Estimated Date of Return,,,1.0,,1.0
56,Did Injury Cause Death?,False,False,1.0,,1.0
57,Date of Death,,,1.0,,1.0
58,Was This a Lost Time or Other Compensable Injury?,True,True,1.0,,1.0
59,Did Injury Occur Because of: ,,,1.0,,1.0
60,Was Employee Treated in an Emergency Room?,True,True,1.0,,1.0
61,Was Employee Hospitalized Overnight as an In-Patient?,False,False,1.0,,1.0
62,Name and Address of Treating Practitioner and Hospital,"Dr. Emily Chen, MD, UW Health East Madison Hospital, 4602 Eastpark Blvd, Madison, WI 53718. Phone: 608-555-0172","Dr. Emily Chen, MD, UW Health East Madison Hospital, 4602 Eastpark Blvd, Madison, WI 53718. Phone: 608-555-0172",1.0,,1.0
63,Case Number from the OSHA Log,2024-0312-01,2024-0312-01,1.0,,1.0
