order,field,answer_gt,answer_extracted,levenshtein,moverscore,levenshtein_moverscore
1,EMPLOYER (NAME & ADDRESS INCL ZIP),"Pacific Home Improvement, Inc., 9140 Carroll Way, Suite 105, San Diego, CA 92121","Pacific Home Improvements, Inc., 9140 Carroll Way, Suite 105, San Diego, CA 92121",0.9937888198757764,,0.9937888198757764
2,REPORT PURPOSE CODE,01-Initial,01-Initial,1.0,,1.0
3,JURISDICTION,CA,CA,1.0,,1.0
4,EMPLOYER’S LOCATION ADDRESS (IF DIFFERENT),Same as above,Same as above,1.0,,1.0
5,LOCATION #,001,001,1.0,,1.0
6,PHONE #,8585550100,855-555-0100,0.8181818181818181,,0.8181818181818181
7,INDUSTRY CODE,236118,236118,1.0,,1.0
8,EMPLOYER FEIN,84-2179036,84-2198036,0.9,,0.9
9,"CARRIER (NAME, ADDRESS, & PHONE #)","Acme Mutual Insurance Company, 2000 Commerce Plaza, Suite 600, Sacramento, CA 95814; (916) 555-0120","Acme Mutual Insurance Company, 9120 W. Sunset Blvd., Los Angeles, CA 90069, (949) 345-0671",0.6031746031746033,,0.6031746031746033
10,POLICY PERIOD (start),2022-03-20,2023-02-03,0.7,,0.7
11,POLICY PERIOD (end),2024-03-20,2024-02-01,0.8,,0.8
12,SELF INSURANCE,False,False,1.0,,1.0
13,"CLAIMS ADMINISTRATOR (NAME, ADDRESS & PHONE NO)","Acme Mutual Claims Department, PO Box 12345, Sacramento, CA 95812; (800) 555-0145","Acme Mutual - Claims Department, 300 Capitol Mall, 12th Floor, Sacramento, CA 95814, (800) 562-0045",0.7666666666666666,,0.7666666666666666
14,CARRIER FEIN,45-9081726,94-9081736,0.8,,0.8
15,POLICY/SELF-INSURED NUMBER,POL123456789,PZ46Y3D28945,0.41666666666666663,,0.41666666666666663
16,ADMINISTRATOR FEIN,27-6319204,27-6539204,0.9,,0.9
17,First Name,John,John,1.0,,1.0
18,Last Name,Doe,Doe,1.0,,1.0
19,DATE OF BIRTH,"Jul 14, 1987",1981-06-18,0.2727272727272727,,0.2727272727272727
20,SOCIAL SECURITY NUMBER,541229031,555-26-8913,0.4,,0.4
21,DATE HIRED,"May 11, 2020",2019-05-29,0.2727272727272727,,0.2727272727272727
22,STATE OF HIRE,CA,CA,1.0,,1.0
23,ADDRESS (INCL ZIP),"1428 Market St, Apt 3B, San Diego, CA 92101","4823 Martha St, Apt 3B, San Diego, CA 92109",0.8837209302325582,,0.8837209302325582
24,SEX,Male,Male,1.0,,1.0
25,MARITAL STATUS,Married,Married,1.0,,1.0
26,OCCUPATION/JOB TITLE,Carpenter,Carpenter,1.0,,1.0
27,EMPLOYMENT STATUS,1-Full-Time,1-Full-Time,1.0,,1.0
28,PHONE,6195550134,619-555-0134,0.9090909090909091,,0.9090909090909091
29,# OF DEPENDENTS,2.0,3.0,0.6666666666666667,,0.6666666666666667
30,NCCI CLASS CODE,5403,5403,1.0,,1.0
31,RATE,1140.0,140.0,0.9090909090909091,,0.9090909090909091
32,PER,Week,Week,1.0,,1.0
33,OTHER,N/A,,0.0,,0.0
34,DAYS WORKED/WEEK,5.0,5.0,1.0,,1.0
35,FULL PAY FOR DAY OF INJURY?,True,True,1.0,,1.0
36,DID SALARY CONTINUE?,False,False,1.0,,1.0
37,TIME EMPLOYEE BEGAN WORK,07:00:00 AM,06:45:00,0.5263157894736843,,0.5263157894736843
38,DATE OF INJURY/ILLNESS,"Nov 16, 2023",2023-10-16,0.36363636363636365,,0.36363636363636365
