order,field,answer_gt,answer_extracted,levenshtein,moverscore,levenshtein_moverscore
1,"NAME (First, Middle, Last) - First",Emily,Emily,1.0,,1.0
2,"NAME (First, Middle, Last) - Middle",,,1.0,,1.0
3,"NAME (First, Middle, Last) - Last",Johnson,Johnson,1.0,,1.0
4,Social Security Number,123-45-6789,123456789,0.9,,0.9
5,Date of Accident (Month-Day-Year),2024-09-18,2024-09-18,1.0,,1.0
6,Time of Accident,10:35:00,10:35:00,1.0,,1.0
7,HOME ADDRESS Street/Apt #,742 Maple Ave Apt 3B,742 Maple Ave Apt 3B,1.0,,1.0
8,HOME ADDRESS City,Portland,Portland,1.0,,1.0
9,HOME ADDRESS State,OR,OR,1.0,,1.0
10,HOME ADDRESS Zip,97214,97214,1.0,,1.0
11,EMPLOYEE'S DESCRIPTION OF ACCIDENT (Include Cause of Injury),"While lifting a 35-lb carton from a lower pallet at the loading dock, I stepped on a wet spot near Bay 3 and slipped. I twisted my right knee and fell forward, bracing my fall with my left hand, causing a wrist sprain. Spill appeared to be water tracked in from the dock area. Incident was reported to my supervisor immediately and first aid was provided.","While lifting a 35-lb carton from a lower pallet at the loading dock, I stepped on a wet spot near Bay 3 and slipped. I twisted my right knee and fell forward, bracing my fall with my left hand, causing a wrist sprain. Spill appeared to be water tracked in from the dock area. Incident was reported to my supervisor immediately and first aid was provided.",,0.9930663403937096,0.9930663403937096
12,TELEPHONE,(503) 555-0198,(503) 555-0198,1.0,,1.0
13,OCCUPATION,Warehouse Associate,Warehouse Associate,1.0,,1.0
14,INJURY/ILLNESS THAT OCCURRED,49-Sprain or Tear,49-Sprain or Tear,1.0,,1.0
15,PART OF BODY AFFECTED,90-Multiple Body Parts,90-Multiple Body Parts,1.0,,1.0
16,DATE OF BIRTH,1989-06-15,1989-06-15,1.0,,1.0
17,SEX,F,F,,1.0,1.0
18,COMPANY NAME,"Pacific E-Commerce Logistics, Inc.","Pacific E-Commerce Logistics, Inc.",1.0,,1.0
19,D. B. A.,PacEcom Logistics,PacEcom Logistics,1.0,,1.0
20,FEDERAL I.D. NUMBER (FEIN),93-1847621,93-1847621,1.0,,1.0
21,DATE FIRST REPORTED (Month/Day/Year),2024-09-18,2024-09-18,1.0,,1.0
22,Street (Employer),1250 NE Rivergate St,1250 NE Rivergate St,1.0,,1.0
23,City (Employer),Portland,Portland,1.0,,1.0
24,State (Employer),OR,OR,1.0,,1.0
25,Zip (Employer),97203,97203,1.0,,1.0
26,NATURE OF BUSINESS,Third-party logistics and e-commerce fulfillment,Third-party logistics and e-commerce fulfillment,,1.0,1.0
27,POLICY/MEMBER NUMBER,POL987654321,POL987654321,1.0,,1.0
28,TELEPHONE,(503) 555-0120,(503) 555-0120,1.0,,1.0
29,DATE EMPLOYED,2022-08-22,2022-08-22,1.0,,1.0
30,PAID FOR DATE OF INJURY,True,True,1.0,,1.0
31,EMPLOYER'S LOCATION ADDRESS Street (If different),1250 NE Rivergate St,"1250 NE Rivergate St, Loading Dock Bay 3",0.6666666666666667,,0.6666666666666667
32,EMPLOYER'S LOCATION ADDRESS City,Portland,Portland,1.0,,1.0
33,EMPLOYER'S LOCATION ADDRESS State,OR,OR,1.0,,1.0
34,EMPLOYER'S LOCATION ADDRESS Zip,97203,97203,1.0,,1.0
35,LOCATION # (If applicable),WH-3,WH-3,1.0,,1.0
36,LAST DATE EMPLOYEE WORKED,2024-09-18,2024-09-18,1.0,,1.0
37,RETURNED TO WORK YES NO,True,True,1.0,,1.0
38,"IF YES, GIVE DATE (Returned to work)",2024-09-23,2024-09-23,1.0,,1.0
39,WILL YOU CONTINUE TO PAY WAGES INSTEAD OF WORKERS' COMP?,False,False,1.0,,1.0
40,LAST DAY WAGES WILL BE PAID INSTEAD OF WORKERS' COMP,,,1.0,,1.0
41,PLACE OF ACCIDENT Street,"1250 NE Rivergate St, Loading Dock Bay 3","1250 NE Rivergate St, Loading Dock Bay 3",1.0,,1.0
42,PLACE OF ACCIDENT City,Portland,Portland,1.0,,1.0
43,PLACE OF ACCIDENT State,OR,OR,1.0,,1.0
44,PLACE OF ACCIDENT Zip,97203,97203,1.0,,1.0
45,COUNTY OF ACCIDENT,Multnomah,Multnomah,1.0,,1.0
46,DATE OF DEATH (If applicable),,,1.0,,1.0
47,AGREE WITH DESCRIPTION OF ACCIDENT?,True,True,1.0,,1.0
48,RATE OF PAY $,22.75,22.75,1.0,,1.0
49,RATE OF PAY PER,HR,HR,1.0,,1.0
50,Number of hours per day,8.0,8.0,1.0,,1.0
51,Number of hours per week,40.0,40.0,1.0,,1.0
52,Number of days per week,5.0,5.0,1.0,,1.0
53,"NAME, ADDRESS AND TELEPHONE OF PHYSICIAN OR HOSPITAL","Providence Occupational Health, North Portland, 4925 N Basin Ave, Portland, OR 97217","Providence Occupational Health, North Portland, 4925 N Basin Ave, Portland, OR 97217",1.0,,1.0
54,AUTHORIZED BY EMPLOYER YES NO,True,True,1.0,,1.0
