order,field,answer_gt,answer_extracted,levenshtein,moverscore,levenshtein_moverscore
1,"NAME (First, Middle, Last) - First",John,John,1.0,,1.0
2,"NAME (First, Middle, Last) - Middle",,,1.0,,1.0
3,"NAME (First, Middle, Last) - Last",Smith,Smith,1.0,,1.0
4,Social Security Number,315-84-0921,315-84-0921,1.0,,1.0
5,Date of Accident (Month-Day-Year),2023-08-10,2023-08-10,1.0,,1.0
6,Time of Accident,14:35:00,14:35:00,1.0,,1.0
7,HOME ADDRESS Street/Apt #,"112 Spring Street, Apt 4B","112 Spring Street, Apt 4B",1.0,,1.0
8,HOME ADDRESS City,Newark,Newark,1.0,,1.0
9,HOME ADDRESS State,NJ,NJ,1.0,,1.0
10,HOME ADDRESS Zip,07104,07104,1.0,,1.0
11,EMPLOYEE'S DESCRIPTION OF ACCIDENT (Include Cause of Injury),"While lifting a 55-pound box from a pallet in Aisle 7, I stepped on loose shrink wrap on the floor, slipped, and fell forward. I braced my fall with my right hand and felt immediate pain in my right wrist. The area was not marked and the shrink wrap had not been cleared from the picking lane.","While lifting a 55-pound box from a pallet in Aisle 7, I stepped on loose shrink wrap on the floor, slipped, and fell forward. I braced my fall with my right hand and felt immediate pain in my right wrist. The area was not marked and the shrink wrap had not been cleared from the picking lane.",,0.9963521793430844,0.9963521793430844
12,TELEPHONE,(973) 555-0142,(973) 555-0142,1.0,,1.0
13,OCCUPATION,Warehouse Associate,Warehouse Associate,1.0,,1.0
14,INJURY/ILLNESS THAT OCCURRED,49-Sprain or Tear,49-Sprain or Tear,1.0,,1.0
15,PART OF BODY AFFECTED,34-Wrist,34-Wrist,1.0,,1.0
16,DATE OF BIRTH,1986-02-14,1986-02-14,1.0,,1.0
17,SEX,M,M,,1.0,1.0
18,COMPANY NAME,Hudson Logistics LLC,Hudson Logistics LLC,1.0,,1.0
19,D. B. A.,Hudson Distribution Center,Hudson Distribution Center,1.0,,1.0
20,FEDERAL I.D. NUMBER (FEIN),26-9876543,26-9876543,1.0,,1.0
21,DATE FIRST REPORTED (Month/Day/Year),2023-08-11,2023-08-11,1.0,,1.0
22,Street (Employer),1450 Harbor Way,1450 Harbor Way,1.0,,1.0
23,City (Employer),Jersey City,Jersey City,1.0,,1.0
24,State (Employer),NJ,NJ,1.0,,1.0
25,Zip (Employer),07305,07305,1.0,,1.0
26,NATURE OF BUSINESS,"Third-party logistics, warehousing, and order fulfillment","Third-party logistics, warehousing, and order fulfillment",,1.0,1.0
27,POLICY/MEMBER NUMBER,SIC123456789,SIC123456789,1.0,,1.0
28,TELEPHONE,(201) 555-0199,(201) 555-0199,1.0,,1.0
29,DATE EMPLOYED,2021-03-22,2021-03-22,1.0,,1.0
30,PAID FOR DATE OF INJURY,False,False,1.0,,1.0
31,EMPLOYER'S LOCATION ADDRESS Street (If different),"Building C, 1450 Harbor Way","Building C, 1450 Harbor Way (Aisle 7)",0.84375,,0.84375
32,EMPLOYER'S LOCATION ADDRESS City,Jersey City,Jersey City,1.0,,1.0
33,EMPLOYER'S LOCATION ADDRESS State,NJ,NJ,1.0,,1.0
34,EMPLOYER'S LOCATION ADDRESS Zip,07305,07305,1.0,,1.0
35,LOCATION # (If applicable),DC-3,DC-3,1.0,,1.0
36,LAST DATE EMPLOYEE WORKED,2023-08-10,2023-08-10,1.0,,1.0
37,RETURNED TO WORK YES NO,True,True,1.0,,1.0
38,"IF YES, GIVE DATE (Returned to work)",2023-08-15,2023-08-15,1.0,,1.0
39,WILL YOU CONTINUE TO PAY WAGES INSTEAD OF WORKERS' COMP?,False,True,0.2222222222222222,,0.2222222222222222
40,LAST DAY WAGES WILL BE PAID INSTEAD OF WORKERS' COMP,,,1.0,,1.0
41,PLACE OF ACCIDENT Street,"Building C, 1450 Harbor Way (Aisle 7)","Building C, 1450 Harbor Way (Aisle 7)",1.0,,1.0
42,PLACE OF ACCIDENT City,Jersey City,Jersey City,1.0,,1.0
43,PLACE OF ACCIDENT State,NJ,NJ,1.0,,1.0
44,PLACE OF ACCIDENT Zip,07305,07305,1.0,,1.0
45,COUNTY OF ACCIDENT,Hudson,Hudson,1.0,,1.0
46,DATE OF DEATH (If applicable),,,1.0,,1.0
47,AGREE WITH DESCRIPTION OF ACCIDENT?,True,True,1.0,,1.0
48,RATE OF PAY $,0.0,0.0,1.0,,1.0
49,RATE OF PAY PER,HR,,0.0,,0.0
50,Number of hours per day,0.0,0.0,1.0,,1.0
51,Number of hours per week,0.0,0.0,1.0,,1.0
52,Number of days per week,0.0,0.0,1.0,,1.0
53,"NAME, ADDRESS AND TELEPHONE OF PHYSICIAN OR HOSPITAL","St. Mary’s Urgent Care, 220 Montgomery St, Jersey City, NJ 07302, (201) 555-0118","St. Mary’s Urgent Care, 220 Montgomery St, Jersey City, NJ 07302, (201) 555-0118",1.0,,1.0
54,AUTHORIZED BY EMPLOYER YES NO,True,False,0.2222222222222222,,0.2222222222222222
