order,field,answer_gt,answer_extracted,levenshtein,moverscore,levenshtein_moverscore
1,EMPLOYEE SOCIAL SECURITY #,529-87-1432,529-87-4432,0.9090909090909091,,0.9090909090909091
2,OSHA case #,2024081417,2024091147,0.8,,0.8
3,Time employee began work on date of injury,08:00:00,08:00:00,1.0,,1.0
4,Time employee began work on date of injury (am/pm),AM,AM,1.0,,1.0
5,DATE OF CLAIMED INJURY,2024-08-14,2024-08-14,1.0,,1.0
6,Time of injury,10:35:00,10:35:00,1.0,,1.0
7,Time of injury(am/pm),AM,AM,1.0,,1.0
8,Date of death,,,1.0,,1.0
9,# of dependents (if death is related to injury),0.0,0.0,1.0,,1.0
10,EMPLOYEE Last name,Johnson,Johnson,1.0,,1.0
11,EMPLOYEE First name,Emily,Emily,1.0,,1.0
12,EMPLOYEE Middle name,A.,A.,1.0,,1.0
13,Gender,F,F,,1.0,1.0
14,Marital status,Unmarried,Married,0.75,,0.75
15,Home address,742 Cedar Lane,774 Cedar Lane,0.9285714285714286,,0.9285714285714286
16,Home phone #,(614) 555-0198,(614) 555-0198,1.0,,1.0
17,Date of birth,1990-05-23,1990-05-23,1.0,,1.0
18,Date hired,2021-03-15,2021-03-15,1.0,,1.0
19,City,Columbus,Columbus,1.0,,1.0
20,State,OH,OH,1.0,,1.0
21,Zip Code,43215,43216,0.8,,0.8
22,Occupation,Warehouse Associate,Warehouse Associate,1.0,,1.0
23,Regular department,Shipping & Receiving,Shipping & Receiving,1.0,,1.0
24,Apprentice,False,False,1.0,,1.0
25,Average weekly wage,1138.0,1138.0,1.0,,1.0
26,Rate per hour,28.45,22.45,0.8,,0.8
27,Hours per day,8.0,8.0,1.0,,1.0
28,Days per week,5.0,5.0,1.0,,1.0
29,Normal work schedule Sun,False,False,1.0,,1.0
30,Normal work schedule Mon,True,True,1.0,,1.0
31,Normal work schedule Tue,True,True,1.0,,1.0
32,Normal work schedule Wed,True,True,1.0,,1.0
33,Normal work schedule Thu,True,True,1.0,,1.0
34,Normal work schedule Fri,True,True,1.0,,1.0
35,Normal work schedule Sat,False,False,1.0,,1.0
36,Employment status,Full time,Full time,1.0,,1.0
