order,field,answer_gt,answer_extracted,levenshtein,moverscore,levenshtein_moverscore
1,Employee Name,John Andrew Doe,John Andrew Doe,1.0,,1.0
2,WCB Case Number (JCN),G1234567,G1234567,1.0,,1.0
3,Date of Injury,2023-11-15,2023-11-15,1.0,,1.0
4,Claim Administrator Claim Number,ACM-2023-11015,ACM-2023-11015,1.0,,1.0
5,Insurer Name,Pioneer Mutual Insurance Co.,Pioneer Mutual Insurance Co.,1.0,,1.0
6,Insurer ID,W010003,W010003,1.0,,1.0
7,Claim Administrator Name,Sara Nguyen,Sara Nguyen,1.0,,1.0
8,Claim Administrator Address,"1700 Market St, Suite 2000","1700 Market St, Suite 2000",1.0,,1.0
9,Claim Administrator City,Philadelphia,Philadelphia,1.0,,1.0
10,Claim Administrator State,PA,PA,1.0,,1.0
11,Claim Administrator Postal Code,19103,19103,1.0,,1.0
12,Claim Administrator Country,USA,USA,1.0,,1.0
13,Employee First Name,John,John,1.0,,1.0
14,Employee Middle Name/Initial,Andrew,Andrew,1.0,,1.0
15,Employee Last Name,Doe,Doe,1.0,,1.0
16,Employee Suffix,,,1.0,,1.0
17,Employee Mailing Address,742 Maple Avenue,742 Maple Avenue,1.0,,1.0
18,Employee City,Albany,Albany,1.0,,1.0
19,Employee State,NY,NY,1.0,,1.0
20,Employee Postal Code,12208,12208,1.0,,1.0
21,Employee Country,USA,USA,1.0,,1.0
22,Employee Phone Number,(518) 555-0146,(518) 555-0146,1.0,,1.0
23,Date of Birth,1986-07-12,1986-07-12,1.0,,1.0
24,Gender,Male,Male,1.0,,1.0
25,Date of Hire,2021-05-03,2021-05-03,1.0,,1.0
26,Employee SSN,987-65-4321,987-65-4321,1.0,,1.0
27,Occupation Description,Carpenter / handyman,Carpenter / handyman,1.0,,1.0
28,Employee Email Address,john.doe@doehandyman.com,john.doe@doehandyman.com,1.0,,1.0
29,Time of Injury,10:35:00,10:35:00,1.0,,1.0
30,Date Employer Had Knowledge of the Injury,2023-11-16,2023-11-16,1.0,,1.0
31,Employment Status,Full-time,Full-time,1.0,,1.0
32,Date Employer Had Knowledge of Date of Disability,2023-11-16,2023-11-16,1.0,,1.0
33,Estimated Weekly Wage,1180.0,1180.0,1.0,,1.0
34,Number of Days Worked Per Week,5.0,5.0,1.0,,1.0
35,Work Week Type,Standard Work Week,Standard Work Week,1.0,,1.0
36,Work Days Scheduled,Monday through Friday,"Mon, Tues, Wed, Thurs, Fri",0.46808510638297873,,0.46808510638297873
37,Full Wages Paid for Date of Injury,True,True,1.0,,1.0
38,Employer Paid Salary in Lieu of Compensation,False,False,1.0,,1.0
39,Initial Treatment,Minor Clinic/Hospital Treatment,Minor Clinic/Hospital Treatment,1.0,,1.0
40,Death Result of Injury,No,No,1.0,,1.0
41,Date of Death,,,1.0,,1.0
42,Number of Dependents,2.0,2.0,1.0,,1.0
43,Nature of Injury,Strain/sprain,Strain/sprain,1.0,,1.0
44,Part of Body,Lower back (lumbar) and left shoulder,Lower back (lumbar) and left shoulder,1.0,,1.0
45,Cause of Injury,Lifting and twisting while carrying materials,Lifting and twisting while carrying materials,1.0,,1.0
