order,field,answer_gt,answer_extracted,levenshtein,moverscore,levenshtein_moverscore
1,First name,Emily,Emily,1.0,,1.0
2,Middle initial,A,A,1.0,,1.0
3,Last name,Johnson,Johnson,1.0,,1.0
4,Date of injury/disease,2024-11-05,2024-11-05,1.0,,1.0
5,Social Security number,532-86-4197,532-86-4197,1.0,,1.0
6,Date of birth,1990-03-14,1990-03-14,1.0,,1.0
7,"Mailing address; add apartment number or P.O. Box, if applicable","2148 Oakview Dr, Apt 3B","2148 Oakview Dr, Apt 3B",1.0,,1.0
8,City,Columbus,Columbus,1.0,,1.0
9,State,OH,OH,1.0,,1.0
10,ZIP code,43209,43209,1.0,,1.0
11,Sex,Female,Female,,1.0,1.0
12,Email address,emily.johnson90@example.com,emily.johnson90@example.com,1.0,,1.0
13,Home phone number,614-555-0124,614-555-0124,1.0,,1.0
14,Cell phone number,614-555-0178,614-555-0178,1.0,,1.0
15,Employer name,Buckeye Office Supply LLC,Buckeye Office Supply LLC,1.0,,1.0
16,Employer address,855 Parsons Ave,855 Parsons Ave,1.0,,1.0
17,City,Columbus,Columbus,1.0,,1.0
18,State,OH,OH,1.0,,1.0
19,ZIP code,43206,43206,1.0,,1.0
20,Was the injured worker hired through a temp agency?,False,False,1.0,,1.0
21,"If yes, name of temp agency",,,1.0,,1.0
22,Mark the days of the week you usually work,"Monday, Tuesday, Wednesday, Thursday, Friday","Mon, Tue, Wed, Thu, Fri",0.6865671641791045,,0.6865671641791045
23,Regular work hours - From,7 a.m.,07:00:00,0.1428571428571429,,0.1428571428571429
24,Regular work hours - To,3:30 p.m.,15:30:00,0.3529411764705882,,0.3529411764705882
25,Date hired,2022-04-18,2022-04-18,1.0,,1.0
26,Job title,Delivery Associate,Delivery Associate,1.0,,1.0
27,State where hired,OH,OH,1.0,,1.0
28,State where supervised,OH,OH,1.0,,1.0
29,Wage rate; $ per hour,21.5,21.5,1.0,,1.0
30,Number of hours scheduled to work the week of this injury,40.0,40.0,1.0,,1.0
31,Work number for call-offs (Number injured worker calls to reach supervisor),614-555-0142,614-555-0142,1.0,,1.0
32,"Part(s) of body affected (For example: Left knee, right index finger)","Left wrist, left knee","Left wrist, left knee",,1.0,1.0
33,Accident description (Describe the sequence of events that directly caused the injury or death.),"On 2024-11-05 at approximately 9:20 a.m., while delivering 40-lb boxes to a client site at the loading dock of 1250 Maple Ave, Dublin, OH 43017, I slipped on a wet patch on the ramp and fell onto my left side, bracing with my left hand. I immediately felt pain in my left wrist and bruising to my left knee. A coworker assisted me, and I reported the incident to my supervisor the same day.","On 2024-11-05 at approximately 9:20 a.m., while delivering 40-lb boxes to a client site at the loading dock of 1250 Maple Ave, Dublin, OH 43017, I slipped on a wet patch on the ramp and fell onto my left side, bracing with my left hand. I immediately felt pain in my left wrist and bruising to my left knee. A coworker assisted me, and I reported the incident to my supervisor the same day.",1.0,,1.0
34,Will the incident cause the injured worker to miss 8 or more days from work?,False,False,1.0,,1.0
35,Injured worker start time,7 a.m.,07:00:00,0.1428571428571429,,0.1428571428571429
36,Time of injury,09:20 a.m.,09:20:00,0.5555555555555556,,0.5555555555555556
37,Date employer notified,2024-11-05,2024-11-05,1.0,,1.0
38,Was any part of a workday missed due to the injury?,True,True,1.0,,1.0
39,Date last worked,2024-11-05,2024-11-05,1.0,,1.0
40,Was the place of the accident or exposure on employer's premises?,False,False,1.0,,1.0
41,"If no, give accident location, street address",1250 Maple Ave,1250 Maple Ave,1.0,,1.0
42,"If no, give accident location, city",Dublin,Dublin,1.0,,1.0
43,"If no, give accident location, state",OH,OH,1.0,,1.0
44,"If no, give accident location, ZIP code",43017,43017,1.0,,1.0
45,Was injured worker hospitalized overnight?,False,False,1.0,,1.0
46,Initial treatment date,2024-11-05,2024-11-05,1.0,,1.0
47,Health-care office/Facility name,OhioHealth Urgent Care - Dublin,OhioHealth Urgent Care - Dublin,1.0,,1.0
48,Treating physician/Provider name,"Michael R. Patel, MD","Michael R. Patel, MD",1.0,,1.0
49,Telephone number,614-555-0198,614-555-0198,1.0,,1.0
50,Fax number,614-555-0298,614-555-0298,1.0,,1.0
51,Health-care office/Facility street address,4333 W Dublin Granville Rd,4333 W Dublin Granville Rd,1.0,,1.0
52,City,Dublin,Dublin,1.0,,1.0
53,State,OH,OH,1.0,,1.0
54,ZIP code,43017,43017,1.0,,1.0
55,Date of death,,,1.0,,1.0
56,Decedent’s marital status,,,1.0,,1.0
57,Decedent’s number of dependents,0.0,0.0,1.0,,1.0
58,"Diagnosis(es)-narrative description including as appropriate, the location and body part, and ICD code(s).",Left wrist sprain (ICD-10 S63.502A) and contusion of left knee (ICD-10 S80.02XA). X-rays negative for fracture. Swelling and tenderness over distal radius; wrist brace applied. RICE protocol and modified duty recommended.,Left wrist sprain (ICD-10 S63.502A) and contusion of left knee (ICD-10 S80.02XA). X-rays negative for fracture. Swelling and tenderness over distal radius; wrist brace applied. RICE protocol and modified duty recommended.,1.0,,1.0
59,Initial treatment date,2024-11-05,2024-11-05,1.0,,1.0
60,Are the medical conditions you have listed above causally related to the reported work-related accident or occupational disease?,True,True,1.0,,1.0
61,Are you the physician of record?,True,True,1.0,,1.0
62,Treating physician/Provider’s name (Print),"Michael R. Patel, MD","Michael R. Patel, MD",1.0,,1.0
63,BWC provider number,BWC-4578921,BWC-4578921,1.0,,1.0
64,Date,2024-11-05,2024-11-05,1.0,,1.0
65,Employer name,Buckeye Office Supply LLC,Buckeye Office Supply LLC,1.0,,1.0
66,Employer county,Franklin,Franklin,1.0,,1.0
67,Phone number,614-555-0100,614-555-0100,1.0,,1.0
68,Fax number,614-555-0101,614-555-0101,1.0,,1.0
69,Email address,hr@buckeyeofficesupply.com,hr@buckeyeofficesupply.com,1.0,,1.0
70,Employer policy number,POL987654321,POL987654321,1.0,,1.0
71,Federal ID number,82-4567891,82-4567891,1.0,,1.0
72,"Injured worker is (Check box, if applicable.)",,,1.0,,1.0
73,For self-insuring employers only: Medical only / Lost time,Lost time,,0.0,,0.0
