field,answer_gt,answer_extracted,levenshtein,moverscore,levenstein_moverscore
Employee Name (First),John,John,1.0,,1.0
Employee Name (Middle),Andrew,Andrew,1.0,,1.0
Employee Name (Last),Doe,Doe,1.0,,1.0
Social Security Number*,582-41-9360,582-41-9360,1.0,,1.0
Sex,M,M,,0.9999993249066502,0.9999993249066502
Employee Home Telephone No.,(414) 555-0198,(414) 555-0198,1.0,,1.0
Employee Street Address,"1842 S 9th St, Apt 3B","1842 S 9th St, Apt 3B",1.0,,1.0
City,Milwaukee,Milwaukee,1.0,,1.0
State,WI,WI,1.0,,1.0
Zip Code,53204,53204,1.0,,1.0
Occupation,Warehouse Associate,Warehouse Associate,1.0,,1.0
Birthdate,1988-07-15,1988-07-15,1.0,,1.0
Date of Hire,2020-05-11,2020-05-11,1.0,,1.0
County and State Where Accident or Exposure Occurred?,"Milwaukee County, Wisconsin","Milwaukee County, Wisconsin",1.0,,1.0
Employer Name,"Badger Logistics, LLC","Badger Logistics, LLC",1.0,,1.0
WI Unemployment Ins. Acct No.,POL123456789,POL123456789,1.0,,1.0
Self-Insured?,False,No,0.0,,0.0
Nature of Business (Specific Product),Third-party logistics and warehouse distribution services,Third-party logistics and warehouse distribution services,,1.0,1.0
Employer Mailing Address,2555 W Canal St,"2555 W Canal St, Milwaukee, WI 53204",0.5882352941176471,,0.5882352941176471
City,Milwaukee,Milwaukee,1.0,,1.0
State,WI,WI,1.0,,1.0
Zip Code,53204,53204,1.0,,1.0
Employer FEIN,39-8765432,39-8765432,1.0,,1.0
Name of Worker's Compensation Insurance Co. or Self-Insured Employer,NorthStar Casualty Insurance Company,NorthStar Casualty Insurance Company,1.0,,1.0
Insurer FEIN,38-7654321,38-7654321,1.0,,1.0
Name and Address of Third Party Administrator (TPA) Used by the Insurance Company or Self-Insured Employer,"Lakeshore Claims Services, 1200 E Wisconsin Ave, Suite 400, Milwaukee, WI 53202","Lakeshore Claims Services, 1200 E Wisconsin Ave, Suite 400, Milwaukee, WI 53202",1.0,,1.0
TPA FEIN,39-1122334,39-1122334,1.0,,1.0
Wage at Time of Injury $,23.50,23.50,1.0,,1.0
"Specify per hr., wk., mo., yr., etc.",hr,hr,1.0,,1.0
"In Addition to Wages, Check Box(es) if Employee Received",,"None. No meals, room, or tips indicated.",0.18181818181818177,,0.18181818181818177
No. of Meals/wk.,,0,0.0,,0.0
No. of Days/wk,,5,0.0,,0.0
Avg. Weekly Amt. $,,0,0.0,,0.0
Is Worker Paid for Overtime?,True,Yes,0.2857142857142857,,0.2857142857142857
"If Yes, After How Many Hours of Work Per Week?",40,40,1.0,,1.0
No. of Weeks:,50,50,1.0,,1.0
Gross Amount Excluding Tips: $,51000,51000,1.0,,1.0
"If Piece-Work, No. of Hrs. Excluding Overtime:",,N/A (field left blank/not applicable),0.14634146341463417,,0.14634146341463417
Employee's Usual Work Schedule When Injured Start Time,8:00 a.m.,8:00 AM,0.625,,0.625
Employee's Usual Work Schedule When Injured Hours Per Day,8,8,1.0,,1.0
