order,field,answer_gt,answer_extracted,levenshtein,moverscore,levenshtein_moverscore
1,Employee Name (First),Emily,Emily,1.0,,1.0
2,Employee Name (Middle),Anne,Anne,1.0,,1.0
3,Employee Name (Last),Johnson,Johnson,1.0,,1.0
4,Social Security Number*,553-23-7412,553-23-7412,1.0,,1.0
5,Sex,F,F,,1.0,1.0
6,Employee Home Telephone No.,(414) 555-0127,(414) 555-0127,1.0,,1.0
7,Employee Street Address,"1248 S Kinnickinnic Ave, Apt 3B","1248 S Kinnickinnic Ave, Apt 3B",1.0,,1.0
8,City,Milwaukee,Milwaukee,1.0,,1.0
9,State,WI,WI,1.0,,1.0
10,Zip Code,53204,53204,1.0,,1.0
11,Occupation,Marketing Coordinator,Marketing Coordinator,1.0,,1.0
12,Birthdate,1990-06-17,1990-06-17,1.0,,1.0
13,Date of Hire,2022-03-21,2022-03-21,1.0,,1.0
14,County and State Where Accident or Exposure Occurred?,"Milwaukee County, Wisconsin","Milwaukee County, Wisconsin",1.0,,1.0
15,Employer Name,Harborview Marketing LLC,Harborview Marketing LLC,1.0,,1.0
16,WI Unemployment Ins. Acct No.,POL987654321,POL987654321,1.0,,1.0
17,Self-Insured?,False,False,1.0,,1.0
18,Nature of Business (Specific Product),Marketing and advertising services,Marketing and advertising services,,1.0,1.0
19,Employer Mailing Address,"412 E Mason St, Suite 700","412 E Mason St, Suite 700",,1.0,1.0
20,City,Milwaukee,Milwaukee,1.0,,1.0
21,State,WI,WI,1.0,,1.0
22,Zip Code,53202,53202,1.0,,1.0
23,Employer FEIN,47-8123456,47-8123456,1.0,,1.0
24,Name of Worker's Compensation Insurance Co. or Self-Insured Employer,Midwest Mutual Insurance Co.,Midwest Mutual Insurance Co.,1.0,,1.0
25,Insurer FEIN,39-8765432,39-8765432,1.0,,1.0
26,Name and Address of Third Party Administrator (TPA) Used by the Insurance Company or Self-Insured Employer,"North Shore Claims Services, 500 W Silver Spring Dr, Suite 240, Glendale, WI 53217","North Shore Claims Services, 500 W Silver Spring Dr, Suite 240, Glendale, WI 53217",1.0,,1.0
27,TPA FEIN,39-1122334,39-1122334,1.0,,1.0
