order,field,answer_gt,answer_extracted,levenshtein,moverscore,levenshtein_moverscore
1,Employee Name (First),Emily,Emily,1.0,,1.0
2,Employee Name (Middle),Anne,Anne,1.0,,1.0
3,Employee Name (Last),Johnson,Johnson,1.0,,1.0
4,Social Security Number*,553-23-7412,553-23-7412,1.0,,1.0
5,Sex,F,F,,1.0,1.0
6,Employee Home Telephone No.,(414) 555-0127,(414) 555 - 0127,0.9333333333333333,,0.9333333333333333
7,Employee Street Address,"1248 S Kinnickinnic Ave, Apt 3B","4247 S Kinnickinnic Ave, Apt 3B",0.935483870967742,,0.935483870967742
8,City,Milwaukee,Milwaukee,1.0,,1.0
9,State,WI,WI,1.0,,1.0
10,Zip Code,53204,53207,0.8,,0.8
11,Occupation,Marketing Coordinator,Marketing Coordinator,1.0,,1.0
12,Birthdate,1990-06-17,1990-06-17,1.0,,1.0
13,Date of Hire,2022-03-21,2023-08-21,0.8,,0.8
14,County and State Where Accident or Exposure Occurred?,"Milwaukee County, Wisconsin","Milwaukee County, Wisconsin",1.0,,1.0
15,Employer Name,Harborview Marketing LLC,Bayview Marketing LLC,0.8444444444444444,,0.8444444444444444
16,WI Unemployment Ins. Acct No.,POL987654321,DOT987654321,0.8333333333333334,,0.8333333333333334
17,Self-Insured?,False,False,1.0,,1.0
18,Nature of Business (Specific Product),Marketing and advertising services,Advertising and marketing services,,0.8984288600388843,0.8984288600388843
19,Employer Mailing Address,"412 E Mason St, Suite 700","412 E Mason St, Suite 200",,0.8911292995037992,0.8911292995037992
20,City,Milwaukee,Milwaukee,1.0,,1.0
21,State,WI,WI,1.0,,1.0
22,Zip Code,53202,53202,1.0,,1.0
23,Employer FEIN,47-8123456,39-8123456,0.8,,0.8
24,Name of Worker's Compensation Insurance Co. or Self-Insured Employer,Midwest Mutual Insurance Co.,Midwest Mutual Insurance,0.9230769230769231,,0.9230769230769231
25,Insurer FEIN,39-8765432,91-1784662,0.5,,0.5
